"","txt","id","name","symbol","slug"
"91","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",8202,"ZKSwap","ZKS","zkswap"
"92","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",8104,"1inch","1INCH","1inch"
"93","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3964,"Reserve Rights","RSR","reserve-rights"
"94","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1684,"Qtum","QTUM","qtum"
"95","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6538,"Curve DAO Token","CRV","curve-dao-token"
"96","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1042,"Siacoin","SC","siacoin"
"97","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5268,"Energy Web Token","EWT","energy-web-token"
"98","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1698,"Horizen","ZEN","horizen"
"99","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2083,"Bitcoin Gold","BTG","bitcoin-gold"
"100","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2603,"Pundi X","NPXS","pundi-x"
"101","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5632,"Arweave","AR","arweave"
"102","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3911,"Ocean Protocol","OCEAN","ocean-protocol"
"103","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2682,"Holo","HOT","holo"
"104","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7224,"DODO","DODO","dodo"
"105","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6951,"Reef","REEF","reef"
"106","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1214,"Lisk","LSK","lisk"
"107","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7288,"Venus","XVS","venus"
"108","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1982,"Kyber Network","KNC","kyber-network"
"109","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3155,"Quant","QNT","quant"
"110","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7859,"Badger DAO","BADGER","badger-dao"
"111","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3662,"HedgeTrade","HEDG","hedgetrade"
"112","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2087,"KuCoin Token","KCS","kucoin-token"
"113","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5829,"TrustSwap","SWAP","trustswap"
"114","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1455,"Golem","GLM","golem-network-tokens"
"115","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7232,"Alpha Finance Lab","ALPHA","alpha-finance-lab"
"116","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",693,"Verge","XVG","verge"
"117","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1104,"Augur","REP","augur"
"118","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1759,"Status","SNT","status"
"119","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5665,"Helium","HNT","helium"
"120","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2563,"TrueUSD","TUSD","trueusd"
"121","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4761,"NuCypher","NU","nucypher"
"122","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2777,"IoTeX","IOTX","iotex"
"123","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7208,"Polkastarter","POLS","polkastarter"
"124","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3945,"Harmony","ONE","harmony"
"125","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4056,"Ampleforth","AMPL","ampleforth"
"126","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4679,"Band Protocol","BAND","band-protocol"
"127","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1816,"Civic","CVC","civic"
"128","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",6187,"Serum","SRM","serum"
"129","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5728,"Balancer","BAL","balancer"
"130","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3773,"Fetch.ai","FET","fetch"
"131","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4846,"Kava.io","KAVA","kava"
"132","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4948,"Nervos Network","CKB","nervos-network"
"133","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2496,"Polymath","POLY","polymath-network"
"134","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3783,"Ankr","ANKR","ankr"
"135","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4279,"Swipe","SXP","swipe"
"136","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5604,"Secret","SCRT","secret"
"137","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1757,"FunFair","FUN","funfair"
"138","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7226,"Injective Protocol","INJ","injective-protocol"
"139","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2222,"Bitcoin Diamond","BCD","bitcoin-diamond"
"140","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",291,"MaidSafeCoin","MAID","maidsafecoin"
"141","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1680,"Aragon","ANT","aragon"
"142","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2758,"Unibright","UBT","unibright"
"143","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1659,"Gnosis","GNO","gnosis-gno"
"144","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1732,"Numeraire","NMR","numeraire"
"145","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3351,"ZB Token","ZB","zb-token"
"146","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1320,"Ardor","ARDR","ardor"
"147","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3701,"RSK Infrastructure Framework","RIF","rsk-infrastructure-framework"
"148","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3012,"VeThor Token","VTHO","vethor-token"
"149","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5026,"Orchid","OXT","orchid"
"150","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",8210,"Bitcoin Standard Hashrate Token","BTCST","bitcoin-standard-hashrate-token"
"151","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2300,"WAX","WAXP","wax"
"152","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7617,"saffron.finance","SFI","saffron-finance"
"153","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2394,"Telcoin","TEL","telcoin"
"154","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3992,"COTI","COTI","coti"
"155","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1521,"Komodo","KMD","komodo"
"156","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2424,"SingularityNET","AGI","singularitynet"
"157","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1586,"Ark","ARK","ark"
"158","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3437,"ABBC Coin","ABBC","abbc-coin"
"159","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1230,"Steem","STEEM","steem"
"160","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1772,"Storj","STORJ","storj"
"161","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1343,"Stratis","STRAX","stratis"
"162","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7824,"Vai","VAI","vai"
"163","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1886,"Dent","DENT","dent"
"164","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1856,"district0x","DNT","district0x"
